Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#loaded?
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#relative_url_root
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#consider_all_requests_local
  0.02      0.00     0.00     0.00     0.00        3  Kernel#nil?
  0.02      0.00     0.00     0.00     0.00        2  Kernel#=~
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Response#last_modified?
  0.02      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#initialize
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint#check_error
  0.02      0.00     0.00     0.00     0.00        1  Kernel#clone
  0.02      0.00     0.00     0.00     0.00        1  Time#initialize
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#configurations
  0.02      0.00     0.00     0.00     0.00        1  StringIO#read
  0.02      0.00     0.00     0.00     0.00        1  Fixnum#zero?
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#protected_instance_variables
  0.02      0.00     0.00     0.00     0.00        1  <Class::Regexp>#quote
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#protected_instance_variables
  0.02      0.00     0.00     0.00     0.00        2  Module#extended
  0.02      0.00     0.00     0.00     0.00        1  Regexp#to_s
  0.02      0.00     0.00     0.00     0.00        1  Fixnum#<=
  0.02      0.00     0.00     0.00     0.00        2  Exception#backtrace
  0.02      0.00     0.00     0.00     0.00        3  Fixnum#>
  0.02      0.00     0.00     0.00     0.00        1  Hash#merge!
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint::ErrorWrapper#initialize
  0.02      0.00     0.00     0.00     0.00        1  NilClass#to_a
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_templates
  0.02      0.00     0.00     0.00     0.00        1  ActiveSupport::SafeBuffer#to_s
  0.02      0.00     0.00     0.00     0.00        1  Enumerable#all?
  0.02      0.00     0.00     0.00     0.00        1  ActionController::StringCoercion::UglyBody#initialize
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#initialize
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#logger
  0.02      0.00     0.00     0.00     0.00        1  String#html_safe?
  0.02      0.00     0.00     0.00     0.00        2  Module#<
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#default_charset
  0.01      0.00     0.00     0.00     0.00        1  Array#delete
  0.01      0.00     0.00     0.00     0.00        1  Hash#blank?
  0.01      0.00     0.00     0.00     0.00        1  String#bytesize
  0.01      0.00     0.00     0.00     0.00        1  <Class::Regexp>#allocate
  0.01      0.00     0.00     0.00     0.00        2  <Class::StringIO>#allocate
  0.01      0.00     0.00     0.00     0.00        2  TrueClass#to_s
  0.01      0.00     0.00     0.00     0.00        1  Enumerable#detect
  0.01      0.00     0.00     0.00     0.00        1  <Class::Module>#allocate
  0.01      0.00     0.00     0.00     0.00        1  StringIO#rewind
  0.01      0.00     0.00     0.00     0.00        1  Array#blank?
  0.01      0.00     0.00     0.00     0.00        1  Module#==
  0.01      0.00     0.00     0.00     0.00        1  Array#reverse
  0.01      0.00     0.00     0.00     0.00        1  Kernel#eql?
  0.01      0.00     0.00     0.00     0.00        1  <Class::Time>#allocate
  0.01      0.00     0.00     0.00     0.00        1  ActionController::Base#process_cleanup
  0.01      0.00     0.00     0.00     0.00        1  Kernel#===
  0.01      0.00     0.00     0.00     0.00        2  Kernel#object_id
  0.01      0.00     0.00     0.00     0.00        1  StringIO#length
  0.01      0.00     0.00     0.00     0.00        1  String#initialize
  0.01      0.00     0.00     0.00     0.00        1  FalseClass#to_s
  0.01      0.00     0.00     0.00     0.00        1  Hash#clear


