Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.27      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.26      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.25      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#dispatch
  0.25      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render
  0.25      0.00     0.00     0.00     0.00       19  Hash#delete
  0.25      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#default
  0.24      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks#run_callbacks
  0.24      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_key
  0.24      0.00     0.00     0.00     0.00       19  Symbol#to_s
  0.23      0.00     0.00     0.00     0.00       22  <Class::Thread>#current
  0.23      0.01     0.00     0.00     0.01        1  <Module::ActiveSupport::Deprecation>#silence
  0.23      0.00     0.00     0.00     0.00       33  Kernel#kind_of?
  0.23      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.23      0.00     0.00     0.00     0.00        1  ActionController::Rescue#rescue_action_locally
  0.23      0.01     0.00     0.00     0.01        1  ActionController::Session::CookieStore#call
  0.23      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.22      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.22      0.02     0.00     0.00     0.02        1  Rack::Lint#_call
  0.22      0.00     0.00     0.00     0.00       22  Kernel#class
  0.22      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.21      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.21      0.00     0.00     0.00     0.00        7  HashWithIndifferentAccess#update
  0.21      0.02     0.00     0.00     0.02       11  Kernel#__send__
  0.20      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.20      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize_path
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.20      0.00     0.00     0.00     0.00       14  Regexp#match
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.20      0.00     0.00     0.00     0.00       18  Module#===
  0.20      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action_without_handler
  0.20      0.01     0.00     0.00     0.01        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.19      0.01     0.00     0.00     0.01        1  ActionController::Base#process_without_filters
  0.19      0.00     0.00     0.00     0.00        3  ActiveSupport::Callbacks::CallbackChain#run
  0.19      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47mlubarsky4746rvm47gems47ruby45146846745p30247gems47actionpack452463461047lib47action_controller47templates47rescues47routing_error46erb
  0.19      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.18      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain
  0.18      0.00     0.00     0.00     0.00       17  Kernel#is_a?
  0.18      0.00     0.00     0.00     0.00        6  String#blank?
  0.18      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.18      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.17      0.00     0.00     0.00     0.00       13  String#[]
  0.17      0.01     0.00     0.00     0.01        1  ActionController::Rescue::ClassMethods#call_with_exception
  0.16      0.00     0.00     0.00     0.00       20  Array#[]
  0.16      0.00     0.00     0.00     0.00       22  Hash#include?
  0.16      0.00     0.00     0.00     0.00       14  ActionController::Base#response
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.16      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.15      0.00     0.00     0.00     0.00       15  <Class::Object>#allocate
  0.15      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.15      0.00     0.00     0.00     0.00        3  ActionController::Response#charset
  0.15      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_file
  0.15      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.15      0.00     0.00     0.00     0.00        2  ActionController::Response#content_type=
  0.15      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.14      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#clear_buffer
  0.14      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.14      0.00     0.00     0.00     0.00       10  Module#to_s
  0.14      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
